公司名稱,公司代號
南亞,1303
中鋼,2002
聯電,2303
台積電,2330
富邦金,2881
台塑,1301
仁寶,2324
友達,2409
華南金,2880
國泰金,2882
兆豐金,2886
台新金,2887
中信金,2891
統一,1216
遠東新,1402
華新,1605
中環,2323
佳世達,2352
大同,2371
南亞科,2408
長榮,2603
彰銀,2801
新光金,2888
永豐金,2890
台泥,1101
台化,1326
鴻海,2317
旺宏,2337
華碩,2357
廣達,2382
中華電,2412
玉山金,2884
元大金,2885
第一金,2892
群創,3481
宏碁,2353
晶電,2448
聯發科,2454
潤泰全,2915
緯創,3231
亞泥,1102
大成,1210
國喬,1312
中石化,1314
東陽,1319
東元,1504
亞德客-KY,1590
南僑,1702
中纖,1718
大成鋼,2027
上銀,2049
川湖,2059
正新,2105
光寶科,2301
台達電,2308
華通,2313
精英,2331
友訊,2332
光磊,2340
華邦電,2344
聯強,2347
鴻準,2354
技嘉,2376
微星,2377
瑞昱,2379
正崴,2392
億光,2393
凌陽,2401
漢唐,2404
京元電子,2449
全新,2455
義隆,2458
可成,2474
兆赫,2485
瑞軒,2489
華新科,2492
宏達電,2498
中工,2515
冠德,2520
興富發,2542
華固,2548
長榮航,2618
中壽,2823
臺企銀,2834
農林,2913
晶豪科,3006
大立光,3008
亞光,3019
聯詠,3034
智原,3035
文曄,3036
欣興,3037
晶技,3042
景碩,3189
新日興,3376
明泰,3380
創意,3443
嘉澤,3533
TPK-KY,3673
大聯大,3702
和碩,4938
長虹,5534
嘉聯益,6153
瑞儀,6176
聯茂,6213
力成,6239
同欣電,6271
康舒,6282
啟碁,6285
台虹,8039
達方,8163
寶成,9904
宏全,9939
潤泰新,9945
聚陽,1477
廣宇,2328
健鼎,3044
台灣大,3045
玉晶光,3406
台郡,6269
美利達,9914
合庫金,5880
英業達,2356
開發金,2883
遠傳,4904
臻鼎-KY,4958
中租-KY,5871
儒鴻,1476
國巨,2327
葡萄王,1707
敬鵬,2355
隆達,3698
致茂,2360
美律,2439
精誠,6214
矽格,6257
百和,9938
精華,1565
穩懋,3105
璟德,3152
順達,3211
威剛,3260
欣銓,3264
碩禾,3691
東洋,4105
晟德,4123
榮剛,5009
世界,5347
中光電,5371
智冠,5478
中美晶,5483
新普,6121
頎邦,6147
茂迪,6244
網家,8044
元太,8069
群聯,8299
森鉅,8942
為升,2231
彩晶,6116
先豐,5349
胡連,6279
大立光,3008
精華,1565
智邦,2345
樺漢,6414
和大,1536
榮成,1909
聯亞,3081
同致,3552
台燿,6274
環球晶,6488
精測,6510
日月光投控,3711
原相,3227
環球晶,6488
智擎,4162
泰博,4736
台半,5425
台灣高鐵,2633
祥碩,5269
力旺,3529
台光電,2383
信昌電,6173
合晶,6182
大江,8436
祥碩,5269
神盾,6462
